ZIP Code,Latitude,Longitude
91614,34.15,-118.4
94234,38.58,-121.49
90210,,
95020,37.0127518,-121.5598345
92870,33.8802416,-117.8604472
92124,32.8250787,-117.091176
90049,34.0963058,-118.4980744
94521,37.9538109,-121.9643745
95678,38.7637052,-121.2912463
95045,36.8322484,-121.5141615
92653,33.590277,-117.6962824
92821,33.9316733,-117.8604472
90025,34.0448583,-118.4484367
92835,33.9041552,-117.9307584
91910,32.6385134,-117.0617553
94701,37.8683209,-122.2703955
91129,34.1445017,-118.1599559
90071,34.052996,-118.2548551
96651,48.4242455,18.7071284
94960,37.9885355,-122.5655549
91902,32.6703579,-117.0146736
90033,34.0502898,-118.2117257
95621,38.6940006,-121.3026883
90037,34.002058,-118.2818967
90005,34.0578814,-118.3096648
93940,36.5760412,-121.822098
91109,34.1561783,-118.1528623
93009,34.2689983,-119.2105731
93561,35.0776145,-118.4396756
95126,37.3290122,-121.9160211
94109,37.7929789,-122.4212424
93107,34.42,-119.7
94591,38.1256242,-122.1973081
92251,32.8491869,-115.7338502
92648,33.6781963,-118.0127534
92709,49.5664428,12.4182622
91754,34.0472318,-118.1415261
92009,33.095442,-117.2499749
96064,41.7368977,-122.3308804
91103,34.1672881,-118.153228
91030,34.1058277,-118.153228
90066,34.0050173,-118.4338345
95403,38.4739555,-122.7520139
91016,34.1574588,-118.0068979
95348,37.4283693,-120.4933624
91950,32.6721599,-117.0970596
95822,38.5128714,-121.4970294
94538,37.5042267,-121.9643745
92056,33.192168,-117.3028803
93063,34.275113,-118.7095413
91040,34.2864053,-118.3111262
92661,33.602788,-117.9102538
94061,37.4634447,-122.2256803
95758,38.427766,-121.4798948
96091,41.0629127,-122.7764115
94066,37.6210696,-122.4297369
94939,37.938818,-122.5344456
95138,37.2422863,-121.7309452
95762,38.6575905,-121.0564425
92064,32.9799762,-117.0087877
94708,37.9020612,-122.259717
92106,32.7090984,-117.241156
92116,32.7679176,-117.1235339
91302,34.1307949,-118.6848112
90048,34.0741548,-118.3724915
90405,34.00974600000001,-118.4659576
92325,34.2524771,-117.2793685
91116,34.1500196,-118.1296057
92868,33.78659,-117.8750976
90638,33.9045543,-118.0127534
90747,33.8641714,-118.2558801
93611,36.8303133,-119.6788877
95833,38.6137699,-121.5084511
91605,34.208195,-118.3987842
92675,33.5039207,-117.5613246
90650,33.90777509999999,-118.0830047
95820,38.5359933,-121.4513314
90018,34.0309972,-118.319894
93711,36.8381393,-119.829443
95973,39.8633343,-121.856261
92886,33.9011405,-117.7959713
95812,38.58,-121.49
91203,34.1531191,-118.2614332
91105,34.1406082,-118.1678543
95008,37.2770029,-121.9529992
90016,34.0255188,-118.3520389
90035,34.050751,-118.3841777
92129,32.9657005,-117.1147095
90720,33.7976003,-118.0712981
94949,38.0599857,-122.503327
90041,34.13224690000001,-118.2117257
95003,36.9771465,-121.8994154
95192,37.34,-121.88
91101,34.1427587,-118.1386005
94126,37.798664,-122.3972211
90230,33.9933257,-118.3987842
93101,34.420334,-119.7107494
91365,34.1693503,-118.6095343
91367,34.1785255,-118.597305
91763,34.0745742,-117.6962824
92660,33.6301328,-117.8721676
92104,32.7398671,-117.1205925
91361,34.1384626,-118.8946309
90011,34.007889,-118.2585096
90032,34.0795169,-118.1766294
95354,37.6346973,-120.9704234
94546,37.7188649,-122.0780632
92673,33.4662881,-117.6317494
95741,38.59,-121.3
95351,37.6183927,-120.9933678
92399,34.0593543,-117.0087877
90274,33.7793751,-118.3520389
94087,37.3492097,-122.0326019
90044,33.9478802,-118.2935891
94131,37.7401042,-122.4382307
94124,37.7304167,-122.384425
95032,37.2260616,-121.9302449
90212,34.0617109,-118.4017053
93109,34.4038383,-119.7252297
94019,37.4903082,-122.4353995
95828,38.4929881,-121.3884671
90086,34.06,-118.24
94555,37.5677679,-122.0522177
93033,34.1599885,-119.1274334
93022,34.3925151,-119.3076098
91343,34.2386799,-118.4805569
91911,32.6059744,-117.0441009
94803,37.9587253,-122.2767313
94553,37.9873593,-122.151897
95211,37.9794321,-121.3141847
90304,33.9387862,-118.3608046
92084,33.2143717,-117.2088167
90601,34.0080684,-118.0303189
92704,33.7246333,-117.9073244
92350,34.0501932,-117.264176
94705,37.8646149,-122.2341905
93401,35.2454989,-120.5969758
90502,33.8331717,-118.2906661
94571,38.1494225,-121.7423434
95070,37.2638319,-122.023004
92735,33.7169034,-117.8506504
95037,37.2187714,-121.5826642
95135,37.2751505,-121.685341
94028,37.3871184,-122.2086579
96003,40.8002021,-122.1792927
91024,34.1934312,-118.0478826
90065,34.10885,-118.2234229
95405,38.43922999999999,-122.6673018
95370,37.9768028,-120.3666099
93727,36.7486376,-119.7078532
92867,33.8186385,-117.8282121
95821,38.6258567,-121.3884671
94566,37.6436199,-121.8676464
95125,37.2909813,-121.8904136
94526,37.8006948,-121.9814354
94604,37.8,-122.27
96008,40.7159408,-122.1203009
93065,34.2774306,-118.7897558
96001,40.5441948,-122.4617007
95006,37.1833232,-122.151897
90639,33.90528219999999,-118.0179682
92630,33.6447519,-117.6845508
95307,37.5350396,-120.9646866
91801,34.0837958,-118.1181199
94302,37.44,-122.14
91710,34.0120229,-117.6786847
93950,36.62011800000001,-121.918866
90059,33.9287591,-118.2468148
94108,37.7909427,-122.4084994
94558,38.3170536,-122.3019206
93933,36.680194,-121.7822278
92161,32.8758428,-117.2367464
94507,37.8541701,-122.0098642
94575,37.84,-122.13
95449,38.9351173,-123.1014056
93403,35.28,-120.66
93460,34.6627116,-120.0202964
95005,37.0945364,-122.0951062
93302,35.55,-118.92
94040,37.3785351,-122.086585
91401,34.1789379,-118.4338345
95816,38.58001840000001,-121.4627576
92624,33.4559258,-117.6640187
